109881, 367053
109881, 351029
109881, 307844
109881, 240150
109881, 218894
109881, 161360
109881, 157394
109881, 14002
109880, 908351
109880, 826872
109880, 814022
109880, 772923
109880, 709137
109880, 709020
109880, 646710
109880, 536315
109880, 303410
109880, 251202
109880, 125619
109880, 120968
109880, 47927
109880, 17547
539934, 689567
109879, 836492
109879, 586282
109879, 539934
109879, 87034
911271, 722564
911271, 315824
911271, 15255
911271, 5314
566760, 722564
566760, 315824
566760, 308159
566760, 134197
566760, 109878
566760, 5314
134197, 875381
134197, 785913
134197, 722564
134197, 566760
134197, 315824
134197, 109878
134197, 5314
109878, 911271
109878, 722564
109878, 566760
109878, 315824
109878, 134197
109878, 5314
364391, 829886
364391, 184270
364391, 50419
350569, 772005
350569, 708934
350569, 549863
350569, 184270
109876, 808169
109876, 774007
109876, 506726
109876, 364391
109876, 350569
109876, 263119
109876, 254364
109876, 55929
887283, 894466
887283, 624514
887283, 507832
805067, 398966
805067, 115558
805067, 109875
805067, 20011
736128, 899272
736128, 499425
736128, 463057
736128, 450704
736128, 443120
732826, 109875
627851, 109875
596787, 632367
596787, 560622
596787, 522145
596787, 109875
596787, 280
516669, 915965
516669, 907668
516669, 881509
516669, 109374
378167, 849888
378167, 683971
378167, 632367
309113, 907878
309113, 607926
309113, 518500
309113, 253744
309113, 231480
309113, 109875
309113, 71309
146011, 549385
866892, 819223
866892, 215243
647353, 456028
647353, 147010
494983, 581070
494983, 298401
456028, 374088
456028, 147010
386020, 698537
353746, 834660
353746, 820264
353746, 744915
353746, 716608
353746, 647353
353746, 403116
353746, 214925
276889, 883340
276889, 272834
156198, 698537
109873, 872131
109873, 666884
109873, 570276
109873, 504421
109873, 449693
109873, 191119
109873, 159309
109873, 130883
109871, 171780
109870, 912335
109869, 661785
897445, 852698
897445, 833326
897445, 780393
897445, 708963
